                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.43132,                0.42746,                0.83952,                0.99819,                      1,                  0.995,                0.93292,                0.34818,                0.35282,                0.78925,                0.00101,                0.00101,                0.00101
                     53,                0.45588,                0.41195,                0.87701,                0.99814,                      1,                  0.995,                0.93369,                0.39489,                0.36886,                0.80137,              0.0009902,              0.0009902,              0.0009902
                     54,                0.43581,                0.40476,                 0.8501,                0.99807,                      1,                  0.995,                0.93661,                0.38031,                0.36554,                0.79946,              0.0009704,              0.0009704,              0.0009704
                     55,                0.39578,                0.41217,                0.82735,                0.99814,                      1,                  0.995,                0.93619,                0.36508,                0.35971,                 0.7941,              0.0009506,              0.0009506,              0.0009506
                     56,                0.39819,                0.39327,                0.84513,                0.99816,                      1,                  0.995,                0.93175,                0.36515,                0.35127,                0.79535,              0.0009308,              0.0009308,              0.0009308
                     57,                0.38461,                0.38042,                 0.8231,                0.99819,                      1,                  0.995,                0.92368,                0.40125,                0.34385,                0.80404,               0.000911,               0.000911,               0.000911
                     58,                0.40688,                0.40599,                0.81359,                0.99817,                      1,                  0.995,                0.92528,                0.40915,                 0.3372,                0.80551,              0.0008912,              0.0008912,              0.0008912
                     59,                0.38049,                0.38291,                0.83065,                0.99811,                      1,                  0.995,                0.93923,                0.34969,                0.32365,                  0.791,              0.0008714,              0.0008714,              0.0008714
                     60,                0.37057,                0.39283,                0.83335,                 0.9981,                      1,                  0.995,                0.95329,                0.34589,                0.31536,                0.79128,              0.0008516,              0.0008516,              0.0008516
                     61,                0.36195,                0.40478,                0.82775,                0.99812,                      1,                  0.995,                0.93437,                0.39404,                0.32839,                0.80284,              0.0008318,              0.0008318,              0.0008318
                     62,                0.35539,                0.36123,                0.81881,                 0.9982,                      1,                  0.995,                0.94355,                0.38724,                0.33203,                0.79989,               0.000812,               0.000812,               0.000812
                     63,                0.37599,                0.43926,                0.85275,                0.99828,                      1,                  0.995,                0.94846,                0.35032,                 0.3168,                 0.7903,              0.0007922,              0.0007922,              0.0007922
                     64,                0.34706,                0.35838,                0.82245,                0.99825,                      1,                  0.995,                0.93674,                0.36096,                0.31543,                0.79222,              0.0007724,              0.0007724,              0.0007724
                     65,                0.33813,                0.34113,                0.81409,                0.99828,                      1,                  0.995,                0.93905,                 0.3861,                0.32492,                0.79777,              0.0007526,              0.0007526,              0.0007526
                     66,                0.35873,                0.35842,                0.82682,                 0.9983,                      1,                  0.995,                0.93989,                0.38713,                0.32127,                 0.7982,              0.0007328,              0.0007328,              0.0007328
                     67,                0.37211,                0.38642,                0.84518,                0.99831,                      1,                  0.995,                0.93447,                0.37554,                0.31995,                0.79477,               0.000713,               0.000713,               0.000713
                     68,                0.36355,                  0.371,                0.83604,                 0.9983,                      1,                  0.995,                0.93597,                0.38837,                0.31777,                0.79883,              0.0006932,              0.0006932,              0.0006932
                     69,                0.37109,                 0.4073,                0.84453,                 0.9983,                      1,                  0.995,                 0.9299,                0.37453,                0.30972,                0.79784,              0.0006734,              0.0006734,              0.0006734
                     70,                0.33782,                0.33911,                0.82271,                0.99831,                      1,                  0.995,                0.92747,                0.35485,                 0.3134,                0.79304,              0.0006536,              0.0006536,              0.0006536
                     71,                0.36713,                0.35868,                 0.8296,                0.99831,                      1,                  0.995,                0.93135,                0.35692,                0.30966,                0.79174,              0.0006338,              0.0006338,              0.0006338
                     72,                0.37504,                0.34914,                 0.8277,                0.99831,                      1,                  0.995,                 0.9298,                0.36473,                 0.3154,                0.79434,               0.000614,               0.000614,               0.000614
                     73,                0.33539,                0.32811,                0.83387,                0.99835,                      1,                  0.995,                0.92695,                0.37351,                0.31658,                0.79809,              0.0005942,              0.0005942,              0.0005942
                     74,                0.34957,                0.35288,                0.82489,                0.99839,                      1,                  0.995,                0.93904,                0.38272,                0.30956,                0.79973,              0.0005744,              0.0005744,              0.0005744
                     75,                0.35209,                0.33552,                0.84496,                 0.9984,                      1,                  0.995,                0.93335,                0.38692,                0.30838,                0.80078,              0.0005546,              0.0005546,              0.0005546
                     76,                0.35815,                0.34216,                 0.8321,                 0.9984,                      1,                  0.995,                0.92909,                0.40145,                0.30599,                0.80379,              0.0005348,              0.0005348,              0.0005348
                     77,                0.35508,                 0.3323,                0.84337,                0.99839,                      1,                  0.995,                0.92435,                0.41087,                 0.3022,                0.80642,               0.000515,               0.000515,               0.000515
                     78,                0.33151,                0.39502,                0.83089,                0.99837,                      1,                  0.995,                0.93397,                0.39722,                0.30608,                0.80237,              0.0004952,              0.0004952,              0.0004952
                     79,                0.35403,                0.33878,                 0.8163,                0.99834,                      1,                  0.995,                0.93768,                0.38832,                0.30529,                0.79937,              0.0004754,              0.0004754,              0.0004754
                     80,                0.33856,                0.33136,                0.84889,                0.99835,                      1,                  0.995,                0.93737,                 0.3782,                0.30029,                0.79816,              0.0004556,              0.0004556,              0.0004556
                     81,                 0.3565,                0.34554,                0.83983,                0.99831,                      1,                  0.995,                0.93488,                0.36768,                0.30025,                0.79654,              0.0004358,              0.0004358,              0.0004358
                     82,                0.31675,                0.33395,                0.82858,                0.99832,                      1,                  0.995,                0.94316,                0.36687,                0.30228,                0.79694,               0.000416,               0.000416,               0.000416
                     83,                0.33326,                0.33692,                0.83262,                 0.9983,                      1,                  0.995,                 0.9404,                0.36599,                0.30084,                0.79667,              0.0003962,              0.0003962,              0.0003962
                     84,                0.38361,                0.34164,                0.86591,                0.99832,                      1,                  0.995,                0.93658,                0.37293,                0.29972,                 0.7978,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.3391,                0.35014,                0.84635,                0.99831,                      1,                  0.995,                0.93613,                0.37121,                0.29657,                0.79664,              0.0003566,              0.0003566,              0.0003566
                     86,                0.31514,                0.31016,                0.83569,                0.99832,                      1,                  0.995,                0.94686,                0.36381,                0.29999,                0.79304,              0.0003368,              0.0003368,              0.0003368
                     87,                0.34814,                0.32445,                0.82656,                0.99834,                      1,                  0.995,                0.94046,                0.36362,                0.29568,                 0.7918,               0.000317,               0.000317,               0.000317
                     88,                0.32828,                0.32551,                0.81552,                0.99832,                      1,                  0.995,                0.93973,                0.36104,                0.28997,                0.79201,              0.0002972,              0.0002972,              0.0002972
                     89,                0.30438,                0.31033,                0.80984,                0.99832,                      1,                  0.995,                0.93846,                0.36501,                0.28901,                0.79374,              0.0002774,              0.0002774,              0.0002774
                     90,                0.35063,                0.34712,                0.80194,                0.99833,                      1,                  0.995,                0.93004,                 0.3689,                 0.2898,                0.79502,              0.0002576,              0.0002576,              0.0002576
                     91,                  0.241,                0.31527,                0.74865,                0.99831,                      1,                  0.995,                0.93617,                0.36238,                0.28737,                0.79363,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.3095,                0.41737,                0.78071,                0.99832,                      1,                  0.995,                0.93816,                0.36671,                 0.2881,                0.79528,               0.000218,               0.000218,               0.000218
                     93,                0.25748,                0.31541,                 0.7661,                0.99833,                      1,                  0.995,                0.93824,                 0.3592,                0.28898,                 0.7951,              0.0001982,              0.0001982,              0.0001982
                     94,                0.24397,                 0.3039,                0.76723,                0.99833,                      1,                  0.995,                0.93786,                0.35366,                0.29109,                0.79482,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.2625,                0.31147,                0.78533,                0.99833,                      1,                  0.995,                0.94672,                0.34487,                0.28979,                0.79325,              0.0001586,              0.0001586,              0.0001586
                     96,                0.28563,                0.35412,                0.78079,                0.99833,                      1,                  0.995,                0.94338,                0.33765,                0.28927,                0.79179,              0.0001388,              0.0001388,              0.0001388
                     97,                0.24011,                0.30223,                0.78424,                0.99834,                      1,                  0.995,                0.94515,                0.33671,                 0.2893,                0.79181,               0.000119,               0.000119,               0.000119
                     98,                0.24296,                0.29556,                0.79026,                0.99836,                      1,                  0.995,                0.94159,                0.34168,                0.28869,                 0.7929,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.25798,                0.30679,                0.77069,                0.99835,                      1,                  0.995,                0.94159,                0.34592,                0.28404,                0.79407,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.24427,                0.31477,                0.78748,                0.99836,                      1,                  0.995,                0.94322,                0.34647,                0.27969,                0.79409,               5.96e-05,               5.96e-05,               5.96e-05
